Title,Cite,Author,Year,Info,Link
Contemporary strategy analysis: Text and cases edition,9919,RM Grant , 2016 , books.google.com,https://books.google.com/books?hl=en&lr=&id=DTDvCQAAQBAJ&oi=fnd&pg=PP15&dq=text+analysis&ots=enIPiIc22E&sig=Jh-mT9j_4YTw5Q21W85ImhhYBus
The psychological meaning of words: LIWC and computerized text analysis methods,3886,YR Tausczik  JW Pennebaker , Journal of language and …  2010 , journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0261927x09351676
Text analysis in translation: Theory  methodology  and didactic application of a model for translation-oriented text analysis,3273,C Nord , 2005 , books.google.com,https://books.google.com/books?hl=en&lr=&id=HaHTZ2IxIX4C&oi=fnd&pg=PA1&dq=text+analysis&ots=UG2gip2U6_&sig=1Kj1eZ0O53yiacpQRFbc2AEMMnk
Mayo clinical Text Analysis and Knowledge Extraction System (cTAKES): architecture  component evaluation and applications,1490,GK Savova  JJ Masanz  PV Ogren… , Journal of the …  2010 , academic.oup.com,https://academic.oup.com/jamia/article-abstract/17/5/507/830823
A template approach to text analysis: developing and using codebooks.,1017,BF Crabtree  WF Miller , 1992 , psycnet.apa.org,https://psycnet.apa.org/record/1992-97742-005
Qualitative text analysis: A guide to methods  practice and using software,1011,U Kuckartz , 2014 , books.google.com,https://books.google.com/books?hl=en&lr=&id=9B2VAgAAQBAJ&oi=fnd&pg=PP1&dq=text+analysis&ots=w1AUc7OheP&sig=c7UIi-y61PD0YNMlpIAMcuEFOa4
Parameter estimation for text analysis,973,G Heinrich , 2005 , arbylon.net,http://www.arbylon.net/publications/text-est2.pdf
Computer-assisted text analysis,646,R Popping , 2000 , books.google.com,https://books.google.com/books?hl=en&lr=&id=JGEd4EvXaxQC&oi=fnd&pg=PP1&dq=text+analysis&ots=2GT1Fq0ptP&sig=7-WTrU5amygp4hnwE-_y6gwmxf4
Twenty-five years of contrastive rhetoric: Text analysis and writing pedagogies,575,I Leki , Tesol Quarterly  1991 , JSTOR,https://www.jstor.org/stable/3587031
A theory of term importance in automatic text analysis,571,G Salton  CS Yang  CT Yu , Journal of the American society for …  1975 , Wiley Online Library,https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/asi.4630260106
Rhetorical structure theory and text analysis,536,--,--,--,https://books.google.com/books?hl=en&lr=&id=OFLlslsWkFYC&oi=fnd&pg=PA39&dq=text+analysis&ots=UMePUeqDXP&sig=oZ1NERiqIEDUBlw29-FG3AsRvKQ
Cognitive stylistics: Language and cognition in text analysis,504,E Semino  J Culpeper , 2002 , books.google.com,https://books.google.com/books?hl=en&lr=&id=DDzs_Bf0vSYC&oi=fnd&pg=PR1&dq=text+analysis&ots=GzkZhRuvzX&sig=D70Dc3WknhdrhpOzdvSjSbrjALQ
Advances in written text analysis,500,M Coulthard , 2002 , books.google.com,https://books.google.com/books?hl=en&lr=&id=sI-JAgAAQBAJ&oi=fnd&pg=PP1&dq=text+analysis&ots=qLZKOSQkdI&sig=_D2gPHZlZtSo3MDfRQ5C7AMmuw0
Understanding qualitative data: A framework of text analysis methods,474,MC Lacity  MA Janson , Journal of Management Information …  1994 , Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/07421222.1994.11518043
Theoretical Coding: Text Analysis in,427,A Böhm , A companion to qualitative research  2004 , books.google.com,https://books.google.com/books?hl=en&lr=&id=6lwPkSo2XW8C&oi=fnd&pg=PP286&dq=text+analysis&ots=ZrTZ5sRnKf&sig=yUw7ecuXiRveukwvajV9HLFIAqE
Text analysis,381,HR Bernard  G Ryan , Handbook of methods in cultural …  1998 , utsc.utoronto.ca,http://www.utsc.utoronto.ca/~kmacd/IDSC10/Readings/text%20analysis/text%20analysis.pdf
Computer-assisted text analysis for comparative politics,349,C Lucas  RA Nielsen  ME Roberts  BM Stewart… , … Analysis  2015 , cambridge.org,https://www.cambridge.org/core/journals/political-analysis/article/computerassisted-text-analysis-for-comparative-politics/CC8B2CF63A8CC36FE00A13F9839F92BB
Text analysis and knowledge mining system,310,T Nasukawa  T Nagano , IBM systems journal  2001 , ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/5386947/
Introducing electronic text analysis: A practical guide for language and literary studies,298,S Adolphs , 2006 , books.google.com,https://books.google.com/books?hl=en&lr=&id=jkYtXk7QMnAC&oi=fnd&pg=PP1&dq=text+analysis&ots=YCz82x3WIC&sig=moWcmCYG5HyqSRCQnz_fonV5HFc
Fast methods for kernel-based text analysis,263,T Kudo  Y Matsumoto , Proceedings of the 41st Annual Meeting of the …  2003 , aclweb.org,https://www.aclweb.org/anthology/P03-1004.pdf
Text Analysis with R,222,ML Jockers  R Thalken , 2020 , Springer,https://link.springer.com/content/pdf/10.1007/978-3-030-39643-5.pdf
British traditions in text analysis,218,--,--,--,https://books.google.com/books?hl=en&lr=&id=dTlIAAAAQBAJ&oi=fnd&pg=PA1&dq=text+analysis&ots=cpjt__EFCp&sig=NxZv723nPz_ZEv3yJzN4_Vjcepc
A conceptual framework for quantitative text analysis,215,CW Roberts , Quality and Quantity  2000 , Springer,https://link.springer.com/article/10.1023/A:1004780007748
Measuring the reliability of qualitative text analysis data,211,K Krippendorff , Quality and quantity  2004 , Springer,https://link.springer.com/article/10.1007/s11135-004-8107-7
A performance evaluation of text-analysis technologies,204,W Lehnert  B Sundheim , AI magazine  1991 , aaai.org,https://www.aaai.org/ojs/index.php/aimagazine/article/view/905
Stylometry with R: A package for computational text analysis,192,M Eder  J Rybicki  M Kestemont , The R Journal  2016 , ruj.uj.edu.pl,https://ruj.uj.edu.pl/xmlui/handle/item/35829
Automated text analysis for consumer research,176,A Humphreys  RJH Wang , Journal of Consumer Research  2018 , academic.oup.com,https://academic.oup.com/jcr/article-abstract/44/6/1274/4283031
Automatic text analysis,170,G Salton , Science  1970 , JSTOR,https://www.jstor.org/stable/1728311
Quantitative Text Analysis.,124,MR Mehl , 2006 , psycnet.apa.org,https://psycnet.apa.org/record/2005-16426-011
Context-sensitive text analysis,116,TN Huckin , Methods and methodology in composition research  1992 , books.google.com,https://books.google.com/books?hl=en&lr=&id=cW_vrdU1FFQC&oi=fnd&pg=PA84&dq=text+analysis&ots=CcuSw8MTvK&sig=liut60cm_D_ZlOLjfhZm7c6TYq4
